Trace Length,Noise Percentage,Alphabet,Constraints,Grounding Time,Fast-Downward Costs,Fast-Downward Preprocessing,Fast-Downward Searching,Fast-Downward Steps,Symba Costs,Symba Preprocessing,Symba Searching,Symba Steps,Average Grounding Time (s),Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
10,0%,8,1,12933,5,0.13156545,0.0100064,15,0,0,0,0,12.933,,,,,,,,,,,,
10,0%,8,1,8078,0,0,0,0,5,0.1335,0.0475,15,8.078,,,,,,,,,,,,
10,0%,8,3,19632,0,0,0,0,5,0.1575,0.067,16,19.632,,,,,,,,,,,,
10,0%,8,3,32414,5,0.139276,0.01151245,16,0,0,0,0,32.414,,,,,,,,,,,,
10,0%,8,5,19530,0,0,0,0,5,0.1525,0.069,16,19.53,,,,,,,,,,,,
10,0%,8,5,32271,5,0.13864945,0.0115386,16,0,0,0,0,32.271,,,,,,,,,,,,
10,0%,8,7,23534,0,0,0,0,5.15,0.1595,0.085,15.85,23.534,,,,,,,,,,,,
10,0%,8,7,39368,5.15,0.14086745,0.0153038,15.85,0,0,0,0,39.368,,,,,,,,,,,,
10,10%,8,1,36127,0,0,0,0,6,0.1335,0.0495,16,36.127,,,,,,,,,,,,
10,10%,8,1,62979,6,0.1324239,0.01068095,16,0,0,0,0,62.979,,,,,,,,,,,,
10,10%,8,3,157843,6,0.14030175,0.0131249,17,0,0,0,0,157.843,,,,,,,,,,,,
10,10%,8,3,85600,0,0,0,0,6,0.154,0.0695,17,85.6,,,,,,,,,,,,
10,10%,8,5,155905,6,0.13982305,0.01315855,17,0,0,0,0,155.905,,,,,,,,,,,,
10,10%,8,5,84429,0,0,0,0,6,0.149,0.07,17,84.429,,,,,,,,,,,,
10,10%,8,7,100117,0,0,0,0,6.15,0.164,0.0885,16.85,100.117,,,,,,,,,,,,
10,10%,8,7,184067,6.15,0.1430596,0.0199454,16.85,0,0,0,0,184.067,,,,,,,,,,,,
10,20%,8,1,35015,0,0,0,0,7,0.1405,0.05,17,35.015,,,,,,,,,,,,
10,20%,8,1,62506,7,0.1324735,0.01116045,17,0,0,0,0,62.506,,,,,,,,,,,,
10,20%,8,3,156083,7,0.1379503,0.01349965,16.3,0,0,0,0,156.083,,,,,,,,,,,,
10,20%,8,3,86429,0,0,0,0,7,0.149,0.0665,16.3,86.429,,,,,,,,,,,,
10,20%,8,5,151035,6.55,0.1381385,0.01326225,15.85,0,0,0,0,151.035,,,,,,,,,,,,
10,20%,8,5,86153,0,0,0,0,6.55,0.1545,0.067,15.85,86.153,,,,,,,,,,,,
10,20%,8,7,100805,0,0,0,0,6.75,0.163,0.084,15.55,100.805,,,,,,,,,,,,
10,20%,8,7,183602,6.75,0.14147705,0.021757,15.55,0,0,0,0,183.602,,,,,,,,,,,,
10,30%,8,1,35525,0,0,0,0,8,0.137,0.056,18,35.525,,,,,,,,,,,,
10,30%,8,1,60666,8,0.13308985,0.0114676,18,0,0,0,0,60.666,,,,,,,,,,,,
10,30%,8,3,155264,8,0.13895245,0.0144168,17.3,0,0,0,0,155.264,,,,,,,,,,,,
10,30%,8,3,85465,0,0,0,0,8,0.151,0.069,17.3,85.465,,,,,,,,,,,,
10,30%,8,5,157472,7.4,0.1390013,0.0139338,16.15,0,0,0,0,157.472,,,,,,,,,,,,
10,30%,8,5,86066,0,0,0,0,7.4,0.155,0.0705,16.15,86.066,,,,,,,,,,,,
10,30%,8,7,100606,0,0,0,0,7.6,0.161,0.079,15.6,100.606,,,,,,,,,,,,
10,30%,8,7,182020,7.6,0.1417227,0.0236887,15.45,0,0,0,0,182.02,,,,,,,,,,,,
20,0%,8,1,13244,9.5,0.13300785,0.01281135,28.5,0,0,0,0,13.244,,,,,,,,,,,,
